Player,Team,GP,W,L,MIN,"Passes
Made","Passes
Received",AST,"Secondary
AST","Potential
AST","AST PTS
Created","AST
Adj",TOUCHES,"Avg Sec Per
Touch","Avg Drib Per
Touch"
Richaun Holmes,SAC,44,15,29,23.7,22.8,18.8,1,0.2,1.6,2.8,1.3,31.8,1.63,0.49
Trey Lyles,SAC,74,19,55,20.4,24.5,20.5,1.2,0.2,2.5,3.4,1.6,35,1.92,0.87
Dejounte Murray,SAS,68,30,38,34.8,61.8,71.9,9.2,0.6,17.2,23.3,10.8,87.5,5.06,4.67
Devin Vassell,SAS,71,29,42,27.3,24,23.7,1.9,0.4,3.5,5,2.4,37.1,2.07,1.23
Doug McDermott,SAS,51,21,30,24,19.2,20.5,1.3,0.4,2.2,3.2,1.8,29.8,1.67,0.78
Jakob Poeltl,SAS,68,30,38,29,44.5,29.8,2.8,0.3,4.7,6.8,3.2,58,1.55,0.41
Josh Richardson,SAS,64,38,26,24.7,29.2,27.4,1.8,0.4,3.6,4.7,2.4,40.1,2.69,1.84
Keldon Johnson,SAS,75,33,42,31.9,33.8,31.1,2.1,0.3,3.9,5.5,2.6,50.8,2.16,1.27
Lonnie Walker IV,SAS,70,27,43,23,17.5,26,2.2,0.3,3.8,5.4,2.6,31.3,3.12,2.44
Chris Boucher,TOR,80,48,32,21.1,16.9,13.8,0.3,0.1,0.8,0.8,0.4,26.4,1.58,0.48
Fred VanVleet,TOR,65,39,26,37.9,62.3,71.3,6.7,1,13,16.9,8.3,86.2,4.52,4
Gary Trent Jr.,TOR,70,44,26,35,23.8,33.9,2,0.4,3.9,5.1,2.5,42.4,2.85,2.26
OG Anunoby,TOR,48,31,17,36,32,35.2,2.6,0.4,5,7,3.3,51,2.66,1.65
Pascal Siakam,TOR,68,40,28,37.9,52.6,55,5.3,0.6,10.7,13.9,6.2,77.6,3.95,3.16
Precious Achiuwa,TOR,73,46,27,23.6,22.6,19.9,1.1,0.2,2.1,2.8,1.4,33.5,2.1,1.16
Scottie Barnes,TOR,74,43,31,35.4,49.8,43.8,3.5,0.5,7.1,9,4.3,66.7,2.9,2.17
Bojan Bogdanovic,UTA,69,45,24,30.9,22.8,29.1,1.7,0.3,3,4.6,2.2,40.7,2.18,1.41
Donovan Mitchell,UTA,67,41,26,33.8,41.7,60.9,5.3,0.9,10.1,14.5,6.8,70.5,5.31,4.76
Jordan Clarkson,UTA,79,47,32,27.1,21.3,30.4,2.5,0.3,4.3,6.5,3.1,39.6,3.66,3.06
Mike Conley,UTA,72,44,28,28.6,49.3,56.3,5.3,1.1,10.7,14.1,7.2,65.4,4.99,4.6
Nickeil Alexander-Walker,UTA,64,28,36,22.6,28.3,31.8,2.4,0.4,4.5,6.1,3,42.4,3.24,2.53
Royce O'Neale,UTA,77,46,31,31.2,50.3,27.1,2.5,0.2,4.9,6.5,2.9,58.3,1.6,0.7
Rudy Gobert,UTA,66,42,24,32.1,20.7,17.7,1.1,0.1,1.7,2.9,1.3,33.7,1.31,0.36
Bradley Beal,WAS,40,17,23,36,47.5,62.1,6.6,0.9,12,16.8,8.1,74.7,4.43,3.86
Corey Kispert,WAS,77,31,46,23.4,18.6,17,1.1,0.1,1.8,2.8,1.4,26.6,1.48,0.6
Daniel Gafford,WAS,72,30,42,20.1,23.4,15.9,0.9,0.1,1.7,2.5,1.1,31.4,1.57,0.32
Deni Avdija,WAS,82,35,47,24.2,28.2,21.8,2,0.3,3.8,5.2,2.6,38.1,2.45,1.62
Kentavious Caldwell-Pope,WAS,77,34,43,30.2,27,28.1,1.9,0.3,3.6,4.7,2.4,41.1,2.37,1.47
Kristaps Porzingis,WAS,51,26,25,29,35.9,37.3,2.3,0.4,3.4,5.7,2.8,56,1.72,0.66
Kyle Kuzma,WAS,66,29,37,33.4,36.8,37.2,3.5,0.3,6.3,9.3,4.3,56.5,2.95,1.96
Rui Hachimura,WAS,42,16,26,22.5,22.3,21.2,1.1,0.1,2.1,3.2,1.4,33.7,2.17,1.11
